State,Population ('000),Bumi Penetration(%),Age 20-39 (%),Median Income,Average Spending,Gini Index,B40 Range,M40 Range,T20 Range
Johor,4027.9,56.0,35.0,6879,5342,0.36646,1351 - 5735,5737 - 11923,11926 - 33617
Kedah,2163.1,77.0,34.0,4402,3765,0.35938,1062 - 3754,3754 - 7429,7430 - 22378
Kelantan,1830.6,95.0,31.0,3614,3505,0.3854,1146 - 3062,3063 - 6469,6487 - 21245
Melaka,1007.7,67.0,35.0,6210,5707,0.36963,1700 - 5216,5221 - 11153,11171 - 31850
Negeri Sembilan,1206.7,61.0,34.0,5226,4678,0.36853,1531 - 4335,4336 - 9512,9518 - 25991
Pahang,1614.1,78.0,32.0,4753,4107,0.3077,1541 - 4163,4166 - 7805,7808 - 18855
Perak,2514.6,59.0,32.0,4494,3903,0.36769,1142 - 3789,3790 - 7920,7922 - 20298
Perlis,290.0,87.0,35.0,4713,3834,0.33589,1093 - 4092,4094 - 7780,7794 - 19348
Pulau Pinang,1741.0,42.0,36.0,6502,5322,0.37058,1509 - 5582,5583 - 11492,11495 - 32010
Sabah,3415.6,69.0,38.0,4577,3342,0.39491,1182 - 3837,3837 - 8533,8536 - 26426
Sarawak,2473.5,72.0,34.0,4978,3915,0.3818,1131 - 4155,4157 - 9207,9210 - 25344
Selangor,7049.5,57.0,36.0,9983,6770,0.36123,2551 - 8388,8393 - 15720,15735 - 54961
Terengganu,1186.8,95.0,33.0,5878,4796,0.32631,1681 - 5153,5153 - 9230,9231 - 27722
W.P. Kuala Lumpur,1962.2,44.0,36.0,10234,7823,0.3796,2450 - 8882,8884 - 16753,16779 - 67299
W.P. Labuan,96.4,78.0,37.0,6904,4176,0.30028,2529 - 6022,6025 - 10764,10803 - 26939
W.P. Putrajaya,116.3,96.0,31.0,10056,8897,0.3678,3458 - 8956,8970 - 18108,18324 - 57968
