state,Min B40,Max T20,Population,Bumi %,Income Median,Expenditure,Poverty %,Cluster
Kedah,1062,22378,2163.0,77.0,4402,3765,9.0,0
Kelantan,1146,21245,1831.0,95.0,3614,3505,13.2,0
Melaka,1700,31850,1008.0,67.0,6210,5707,4.2,0
Negeri Sembilan,1531,25991,1207.0,61.0,5226,4678,4.4,0
Pahang,1541,18855,1614.0,78.0,4753,4107,6.3,0
Perak,1142,20298,2515.0,59.0,4494,3903,7.5,0
Perlis,1093,19348,290.0,87.0,4713,3834,4.0,0
Sabah,1182,26426,3416.0,69.0,4577,3342,19.7,0
Sarawak,1131,25344,2474.0,72.0,4978,3915,10.8,0
Terengganu,1681,27722,1187.0,95.0,5878,4796,6.2,0
W.P. Labuan,2529,26939,96.0,78.0,6904,4176,2.5,0
Selangor,2551,54961,7050.0,57.0,9983,6770,1.5,1
W.P. Kuala Lumpur,2450,67299,1962.0,44.0,10234,7823,1.4,1
W.P. Putrajaya,3458,57968,116.0,96.0,10056,8897,0.1,1
Johor,1351,33617,4028.0,56.0,6879,5342,4.6,2
Pulau Pinang,1509,32010,1741.0,42.0,6502,5322,2.0,2
